,Peso Molecular,Indice de inestabilidad
0,25673.389900000016,44.35221238938052
1,25910.64740000001,27.178733031674213
2,24890.56720000001,23.23657534246573
3,27224.08960000003,48.38595744680852
4,24738.808500000003,36.72175925925925
5,11287.718299999986,34.07920792079207
6,24861.10380000002,33.210091743119264
7,29278.012400000007,46.606666666666655
8,29465.35130000001,45.07176470588236
9,25337.53740000001,39.57863636363636
10,24988.158700000015,43.677522935779805
11,25480.904100000003,44.5162331838565
12,31885.01680000002,34.88428571428571
13,69652.77410000023,43.05830917874404
14,15890.680999999986,58.92843971631204
15,24883.424200000012,32.19867579908675
16,29552.283600000024,35.548449612403104
17,69334.46460000025,43.7629967948719
18,28536.17830000003,39.9411693548387
19,37788.360000000015,40.237462235649545
20,70299.93350000014,51.97461661341872
21,26580.0057,26.743037974683535
22,15515.374499999978,56.125971223021565
23,23201.068000000017,33.83921568627451
24,25707.427700000015,50.43775229357799
25,24301.14000000002,32.72594339622642
26,27113.280499999986,25.73943089430893
27,19237.957300000002,42.41280487804878
28,25578.108300000018,32.59955156950672
29,24993.55340000002,40.030697674418604
30,25566.9395,32.51955555555555
31,26419.265400000015,45.013419913419916
32,24779.37440000003,43.696325581395335
33,25314.999300000014,37.603211009174316
34,29527.547300000027,41.35839694656487
35,24162.647500000014,36.56465116279068
